epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.8378,1.84849,2.3859,1.78931,0.57794,0.60582,0.57875,0.22428,2.10618,1.98144,2.34654,0.000474713,0.000474713,0.000474713
2,116.994,1.82594,1.73935,1.8087,0.67062,0.50247,0.56323,0.22094,2.2035,2.38119,2.37446,0.000932216,0.000932216,0.000932216
3,174.248,1.80983,1.63773,1.7824,0.63671,0.60733,0.68045,0.31594,1.85103,2.23418,2.15871,0.00137086,0.00137086,0.00137086
4,231.493,1.78369,1.56505,1.75793,0.63339,0.50922,0.65342,0.29728,1.88292,1.58583,2.07844,0.00134412,0.00134412,0.00134412
5,289.31,1.69884,1.39031,1.69287,0.66616,0.56501,0.70303,0.32237,1.81362,1.52248,1.991,0.00131582,0.00131582,0.00131582
6,347.904,1.65915,1.3349,1.64458,0.66125,0.83066,0.77918,0.36906,1.77729,1.5006,1.99141,0.00128753,0.00128753,0.00128753
7,406.147,1.6303,1.26717,1.64117,0.7646,0.83951,0.81557,0.40152,1.6607,1.11572,1.84439,0.00125923,0.00125923,0.00125923
8,463.989,1.58473,1.17952,1.58758,0.76723,0.78703,0.79975,0.37353,1.77835,1.16667,1.98415,0.00123094,0.00123094,0.00123094
9,524.931,1.56851,1.13231,1.57698,0.67281,0.82232,0.84472,0.40335,1.63049,0.99375,1.84157,0.00120265,0.00120265,0.00120265
10,593.397,1.54245,1.0966,1.57306,0.90342,0.84049,0.91106,0.46475,1.60443,1.02473,1.79973,0.00117435,0.00117435,0.00117435
11,660.593,1.51026,1.07981,1.54828,0.88168,0.82912,0.88604,0.46132,1.6164,0.96323,1.82403,0.00114606,0.00114606,0.00114606
12,728.261,1.4983,1.03666,1.53809,0.85831,0.83944,0.91887,0.47621,1.65024,0.95652,1.82252,0.00111776,0.00111776,0.00111776
13,795.757,1.47228,1.0032,1.51667,0.82072,0.88057,0.88513,0.47256,1.57548,0.92821,1.73128,0.00108947,0.00108947,0.00108947
14,863.089,1.46469,0.9892,1.51016,0.83031,0.87337,0.94169,0.49569,1.57297,0.96582,1.74739,0.00106118,0.00106118,0.00106118
15,929.761,1.46505,0.97957,1.50284,0.91766,0.84064,0.93428,0.51188,1.57399,0.91185,1.78431,0.00103288,0.00103288,0.00103288
16,993.961,1.4227,0.94031,1.4663,0.80265,0.8516,0.87478,0.49438,1.51595,0.91921,1.72793,0.00100459,0.00100459,0.00100459
17,1048.45,1.42726,0.9295,1.49074,0.90103,0.91314,0.92869,0.48279,1.5384,0.85559,1.73157,0.000976293,0.000976293,0.000976293
18,1102.93,1.43268,0.92932,1.49888,0.89589,0.85293,0.92468,0.51081,1.54937,0.93666,1.73568,0.000947999,0.000947999,0.000947999
19,1157.51,1.40999,0.91183,1.46708,0.92678,0.88413,0.94345,0.51883,1.5365,0.88561,1.72239,0.000919704,0.000919704,0.000919704
20,1212.12,1.38878,0.90302,1.46111,0.84805,0.82704,0.93535,0.50134,1.50208,0.95386,1.69359,0.00089141,0.00089141,0.00089141
21,1266.84,1.37723,0.86898,1.42613,0.864,0.88467,0.94729,0.49723,1.57927,0.90114,1.80041,0.000863116,0.000863116,0.000863116
22,1321.47,1.38926,0.87567,1.44316,0.93251,0.91134,0.95968,0.5214,1.48816,0.7817,1.67718,0.000834822,0.000834822,0.000834822
23,1385.46,1.36281,0.85055,1.43058,0.93402,0.90639,0.95284,0.53777,1.51048,0.8308,1.693,0.000806528,0.000806528,0.000806528
24,1444.88,1.36594,0.84184,1.43085,0.89368,0.90438,0.93159,0.52946,1.44274,0.80019,1.65703,0.000778233,0.000778233,0.000778233
25,1501.08,1.3566,0.80202,1.42778,0.92502,0.8902,0.95228,0.52696,1.49421,0.84367,1.69764,0.000749939,0.000749939,0.000749939
26,1556.81,1.3452,0.81339,1.41769,0.92924,0.88442,0.95179,0.53478,1.47961,0.8044,1.68173,0.000721645,0.000721645,0.000721645
27,1612.42,1.30834,0.79254,1.40712,0.87424,0.90567,0.93014,0.52466,1.47608,0.81848,1.69967,0.000693351,0.000693351,0.000693351
28,1667.74,1.30404,0.77167,1.37823,0.91228,0.92576,0.9551,0.53724,1.42033,0.80399,1.66642,0.000665057,0.000665057,0.000665057
29,1723.26,1.30031,0.75651,1.40156,0.89186,0.90145,0.95424,0.55181,1.51082,0.80812,1.72046,0.000636762,0.000636762,0.000636762
30,1779.47,1.28392,0.757,1.38242,0.92546,0.87604,0.9639,0.53451,1.4921,0.75544,1.65547,0.000608468,0.000608468,0.000608468
31,1837.03,1.29056,0.73662,1.3661,0.93434,0.89549,0.95866,0.55633,1.47068,0.75494,1.67975,0.000580174,0.000580174,0.000580174
32,1891.87,1.26365,0.72801,1.35582,0.9156,0.91896,0.96458,0.54291,1.46394,0.74772,1.63303,0.00055188,0.00055188,0.00055188
33,1947.46,1.26833,0.72818,1.36727,0.93453,0.90723,0.96085,0.57062,1.45101,0.753,1.6371,0.000523586,0.000523586,0.000523586
34,2002.65,1.24894,0.70826,1.35433,0.95774,0.91295,0.97449,0.56736,1.48034,0.71844,1.67774,0.000495291,0.000495291,0.000495291
35,2057.2,1.24865,0.70913,1.35615,0.90991,0.93219,0.96785,0.56327,1.47885,0.70641,1.6613,0.000466997,0.000466997,0.000466997
