               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089283,            0.028174,             0.02879,             0.59883,             0.30894,             0.28364,             0.08633,            0.066268,            0.012305,            0.014047,            0.070102,            0.003322,            0.003322
                   1,             0.06842,            0.021688,            0.010033,             0.64366,             0.43092,              0.3772,             0.16358,            0.055633,           0.0087418,           0.0044478,             0.03997,           0.0065236,           0.0065236
                   2,            0.064224,            0.017988,             0.00518,             0.39916,             0.60131,             0.49057,             0.18564,            0.055203,           0.0076357,             0.00503,           0.0097065,           0.0095931,           0.0095931
                   3,            0.056929,            0.016165,           0.0040786,             0.34333,             0.76165,             0.56922,             0.24285,            0.046573,           0.0072175,            0.003943,            0.009406,            0.009406,            0.009406
                   4,            0.052274,            0.014898,           0.0035969,             0.71873,             0.72839,             0.78293,             0.35373,            0.042617,           0.0070167,           0.0046118,            0.009406,            0.009406,            0.009406
                   5,            0.048179,            0.014644,           0.0029368,             0.79494,             0.82245,             0.83333,             0.36233,            0.039285,           0.0066326,           0.0028902,            0.009208,            0.009208,            0.009208
                   6,            0.045459,            0.014008,           0.0026625,              0.7019,             0.84532,             0.79694,             0.39023,            0.038166,           0.0066805,           0.0033906,             0.00901,             0.00901,             0.00901
                   7,            0.043706,            0.013891,           0.0025122,              0.7509,             0.88373,              0.8884,             0.38334,            0.040532,           0.0066067,           0.0030483,            0.008812,            0.008812,            0.008812
                   8,            0.042664,            0.013681,           0.0021673,             0.84382,             0.93233,              0.9164,             0.44218,            0.036553,           0.0064203,           0.0035748,            0.008614,            0.008614,            0.008614
                   9,            0.040221,            0.013404,           0.0022803,             0.89004,             0.89565,               0.937,             0.46559,             0.03496,           0.0064442,           0.0030246,            0.008416,            0.008416,            0.008416
                  10,            0.040355,            0.013221,           0.0017864,             0.85009,             0.89997,              0.9059,             0.43513,            0.036264,           0.0064575,            0.004105,            0.008218,            0.008218,            0.008218
